komentar,sentiment
Kenapa ya saat download data nya udah selesai..... Tiba2 besok nya mau login eh datanya ilang di suruh download lagi..... Mana datanya berat lagi....... Makin lama aneh2 aja ni game...... Udah berat banyak bug nya juga ..... Buat developer nya tolong di perbaiki game nya lagi....... Kalau bisa bikin fitur transfer data pubg nya...... Jadi lebih meringankan pemain agar tidak perlu mendownload banyak data...jika anda membuat nya kemungkinan besar player2 yang kehilangan data dapat mentransfer data,positive
"Teman saya lagi main tiba-tiba ada bug, setelah itu terkena BANNED, sudah mengajukan banding tapi ditolak, Padahal gak pake cheat atau apapun, aneh bgt, Akunya itu penuh memori kenangan, mohon kepada Tencent agar direspon dan dikembalikan, Kami sangat dirugikan dengan kesalahan sistem seperti ini terimakasih.",negative
"⭐⭐ dulu tolong buat para depelovernya jangan sering² update masa setiap saya mau login selalu update,, tidak semua pemain itu punya wifi yg punya kecepatan wah, jadi sangat meresahkan sekali diversi 3.5. Tolongla pikirkan nasib pelayernya jangan cuma, update mulu kami butuh kenyamanan bermain bukan keresahan saat login.",negative
"Versi lalu main dipenuhi framedrop sampai 30fps, skrng pun masih sama, masa iya snap 870 nyentuh 50fps aja udah g bisa. udah main di smooth juga masih framedrop brutal, sumpah gedek banget lama lama, g usah kebanyakan aneh aneh tapi yg penting ringan dan lancar aja",negative
Min tolong di perhatikan.Mengapa setiap updete file yang sudah di donload atau yang sudah ada di download ulang seharusnya hanya uptede peningkatan versi dan event saja sebab itu bisa menjadi penumpukan file dan sampah yang penyebabkan penurunan kenerja/perporma hp khusus nya android.,negative
saya tidak terlalu suka dengan pubg mobile saat dibawah pengawasan level infinity. dimana 1) banyak bug yang terjadi yang sangat merugikan pemain 2) X-suit dimana ada 2 X-suit yang sangat berkesan bagi player pubg mobile ya itu Paraoh & Blood reven terkesan eklusif sedangan selama ditangan level infinity banyak x-suit jelek seperti skin murahan kesannya X-suit bukan hal yang luar biasa lagi dan masih banyak hal yang saya tidak suka. semoga tancet games cepat kembali.,negative
mohon segera ditinjau tentang bug arena training yg sering tidak muncul ikon senjata di bag/tas juga tidak munculnya ikon ganti scope dilayar ketika berada diarena training. jadi kesulitan untuk mengubah/pun menyesuaikan sensitivitas ketika latihan/pun bermain di match,negative
"Ini gimana cara unlink akun pubg ku, mau ganti email aja susah mesti muncul "" Pemeriksaan keamanan gagal. Harap beralih kembali ke perangkat atau koneksi jaringan yang biasa digunakan untuk akun ini dan coba lagi. Atau, pertahankan perilaku yang baik pada perangkat saat ini agar lolos pemeriksaan keamanan"", padahal udah memenuhi persyaratan, gak jelas ni game emang",negative
"Bug di livik, bagian pintu ( pintunya ganda ) di salah satu lokasi recall antara iceborg dan hotspring. Dan juga saat diperbaharui tidak tersedia tayangan ulang kill. saran untuk mamonth kecepatannya di kurangi, terlalu cepat, Mohon di fix secepatnya. Terima kasih",positive
"Tolong perbaikan game ini ,kadang tempat gk keliatan jadi saya tidak tau ada penghalang atau tidak dan otomatis musuh bisa memanfaatkan bug ini ,karena hal ini rank dan K/D saya turun ,tolong setidaknya berikan keringanan seperti hasil pertandingan tidak sah karena mengalami bug dan lainnya ,saya sangat minta tolong untuk merespon laporan saya ini 🙏😭",neutral
"Perbaiki bug unduhan pengaturan nya memang mengalami peningkatan tapi data saya sebesar 700MB hilang begitu saja dalam sekali main dan beberapa menit,padahal saya telah menonaktifkan perihal unduhan apapun yang menggunakan data seluler.",negative
"coba ditambahkan untuk opsi sensitivitas. jadi kita punya 2 opsi sensitifitas yang ada di cloud. sama seperti layout kontrol, ada layout 1, 2, dan large. dijadiin seperti itu, jadi kita bisa ganti sensitivitas tanpa perlu mencatat 2 sensitivitas yg berbeda",positive
"intinya sampai sekarang semenjak S1 masih main pubg.. ngerasain segala macam bug dulunya.. sampe skrg dah banyak improvement yg dilakukan.. udah banyak player habisin waktu dan uang utk game ini, kalo bisa sampe punya cucu nanti masih ada ini game 🤣... Hanya 1 yg masih kurang, bgmn dgn para cheater yg semenjak S1 sampe skrg masih ada. Pdhl udah banyak yg di ban 10 thn. Mungkin ada solusi dr developer? Seolah-olah cheaternya bisa nembus tiap kali developer membuat sistem keamanan baru.",positive
"bugnya diperbaiki dong , setiap masuk macth kok kadang gabisa masuk, udah di relog ulang tetep gabisa masuk, padahal sinyal bagus , kalo gabisa masuk point+kd jangan diturunin, karena kita ga masuk macthnya",negative
"5 tetap diberikan.tapi tolong lebih diperhatikan masalah leg/frim rate nya dan bug nya.agar para player ngak merasa kecewa.tolong di perbaiki masalah"" diatas. Untuk event ini termasuk sulit buat ditaklukin.medannya masalahnya ice terang dan menyilaukan mata.tolong di buat sedikit agak gelaplah warna ice nya. ""Salam Battle Royal"".",positive
"Yth PUBG. untuk pencarian mode solo , duo , itu kenapa sangat susah banget dan kenapa setiap pembaruan selalu banyak bug gak jelas,musim kemarin dan saat ini juga. setiap update tidak mengecil space nya malah semakin besar. tolong pihak pubg untuk menindak lanjuti. thanks",neutral
"5 Tahun tak terasa saya play game ini dari device poco x3 pro, Sudah berbagai device saya coba bermain game ini, dan itu sangat menyenangkan...untuk bugs di versi 3.5.0 hampir tidak ada, device terakhir di versi ini adalah poco x6 pro , hyperos 1.0.10 , grafis smooth extreme+ (90fps) , lebih dari cukup karena bukan kompetitif player, next update saran saya lebih fokus ke map & built grafis...thanks pubg team...",positive
"tambah kan map baru, sebaiknya skin trial di apus jadikan semua permanen, adain bundle jadi gak gitu gitu aja di Shop, update grafik lebih di bagusin lagi terutama di bayangan yang terlalu gelap dan cahaya terlalu silau, ada fitur pergantian mode di setiap senjata kadang suka kepencet single padahal mau ganti senjata satu nya di tambahkan map erangel yang baru seperti di pc kami player butuh gameplay dan fitur baru dalam game ini bukan hanya menikmati SKIN DAN MODE EVENT SAJA",positive
"Kenapa jaringan selalu terputus saat akhir match? Sedangkan saya buka aplikasi lain aman saja, jaringan juga bagus, selalu terputus saat akhir match padahal dari awal sampai pertengahan permainan semuanya berjalan normal, mohon dibetulkan untuk bug ini",negative
"Pubgm ini makin hari makin canggih, atau makin aneh, karna apa,,, karna setiap update pasti banyak yg mengeluh bug frem drop, gk selesaikan masalah kek gitu malah di update lagi ke veri terbaru bug dan frem🤣😂, ini bukan perbaiki masalah tapi update ke masalah baru, semua yg ada di dunia nyata di masukin ke dalam game, jangan yg aneh aneh update nya pak, yg penting lancar jaya",negative
"pelaporan cheat sudah tidak ada. cheat multiple kevlar, multiple helmet, multiple respawn, no reload tidak bisa dilaporkan. pilihan untuk melapor juga tidak muncul. bug tembus tembok, batu, dan pohon dibiarkan. sudah sangat tidak nyaman untuk dimainkan (kecuali pertandingan turnamen offline).",negative
"Saat membuat akun baru dan memainkannya hingga peringkat silver dan mencapai level 11.saat mencoba login kembali dengan akun yang sama, akun tiba-tiba mereset kembali dengan level 1 dan peringkat bronze. bagaimanakah konsep permainan pubg mobile saat ini? sangat kurang nyaman dalam masalah yang tidak jelas inj",negative
"Ini kenapa ya sering keluar match sendiri? Padahal koneksi stabil, ada notif logo wifi terus dipaksa keluar. Kalo gini terus gimana mau push rank, dari 4 match tadi 2x keluar. Mending kalo ada point protection, kalo ga ada gimana? Ayolahh difix segera",neutral
"Jangan terlalu banyak even yg gak jelas! Krna setiap saat ada even ngeframe gak jelas' padahal kalau tidak ada even semuanya lancar"" aja.... Tolong juga min perbaiki BUG rumah ilang di map masa setiap main rumahnya gak ada padahal udah download data full buat map yg di mainkan dan juga setiap ketemu player secara bentrok bisa"" saya gak bisa gerak nyari senjata karna setiap saat update trus",neutral
"Banyak bug, massa setiap naik kendaraan, suara kendaraan nya tidak ada, stiap ada musuh bawa kendaraan tidak terdengar suara nya kendaraan nya, tiba tiba ada di di dekat gua, tolong perbaiki bug bug yg ga jelas ini",negative
"Saya udah lama main pubg, Tpi saya hanya ingin 🙏 untuk tim tencen tolong buka semua grafis/fps di semua jenis smartfone /hp masalah mereka mau memakaii atao tidak itu hak para pemain pubg sendiri, jadi kita tidak lagi memakai apk/config hanya ingin merasakan fps/grafis yang tinggi terimakasih, kusus untuk smartfone dengan cipset helio g99 di buka 60 fps nya di semua grafik",positive
"Hahahahaha Berkali kali main di ranked level platinum musuh nya udah mythick, saya level platinum di campur dengan mytich, menang nya dari mana, berkali kali main tim nya platinum dan ace, tapi musuh nya level nya udah mythick, mnang dari mana nya... Haha Apa lagi turun season, jadi kacang zg level nya gold... Ada kah musuh nya zg se level semua Terutama bagi pemula mlam minggu dan minggu banyak yang pro maen,",negative
"Klasifikasi matching terkadang gila, pemain hp kentang di campur ama spek dewa, auto mokad. Orang baru nyepray musuh duluan kita yang kenok, sering terjadi seperti ini..... Delay bullet fast recive damage. 🤧",neutral
Sering mengalami masalah jaringan. padahal buat buka tiktok/YouTube lancar. pas mau main malah hilang koneksi. udah beberapa kali buat relog (kluar/masuk pubg) tapi sama aja. tolong dong di perbaiki masalah server nya. main jadi gak enak,negative
"Solo,duo...sulit dimainkan,disarankan ke event beda seperti dulu2 setelah upgrade kok seperti ini...saran saja diperbaiki...mohon maaf bila ada kata2 yang salah...selebihnya terimakasih.",positive
"Mengapa di saaat bermain tiba2 keluar sendiri dari game nya,,??? Saya heran padahal koneksi bagus saya pkai wifi lagi, trus kenapa HP cepat panas padahal ram di ats 8gb..mohon developer bantu dong... Menahan masalah pubg saya,,??? 🙏mengapa waktu lagi main sekitar 2 menit mendal/kluar tiba2 min......,",negative
tiap event ada aja bug nya event ini kalo nge start selalu mental lagi ke lobby sebelum masuk spawn island pas lagi di loading screen selalu lama dan setelah itu pasti kembali ke lobby dan GK bisa balik main lagi ini udh berkali kali loh,neutral
"Sekarang Makin update makin parah,beda tahun""kemarin update bagus cuman fps aj yg tinggi,sekarang fps rendah,sekarang 2 kali rilot baru kenok musuhnya,tapi kl musuh menembak 2 peluru udah kenok padahal kita pakai wifi tolong dong kedepannya di-update lagi yg bagus makasi",negative
"Sekarang makin sering bug tiba² sering force close atau keluar sendiri, ga dapat having fun lagi klo begini terus. Device Realme GT Neo 2 12/256 masih bnyak space memory dan ram yg tersedia Tolong segera diperbaiki, Terimakasih",negative
"Didalam game ada game dan gak cuma satu, rumah, sosmed, dll Penyakit utama bug,lag,ngeblink,fps turun naik gak guna Helio 99+ sinyal penuh disini (cuma sampah/rongsokan hp). Update doang rutin tp gak memperhatikan keluhan player!!",negative
Cukup bagus gambar nya aku belum coba udah download tapi belum coba nah ada satu masalah yaitu tolong dong diperbaiki ya bang level infinity tolong ya loading nya dipercepat dong 😥😥😥 ini aku nungguin 5 jam belum selesai 😠😠😠😠😠😡😡 jadi tolong diperbaiki ya bang level infinity Udah itu saja yang aku sampaikan semoga kalian sehat selalu ya 😃😃😃😄 (Edit kalau udah diperbaiki aku kasih bintang lima bintang tiga dulu ya 😊😊😊😊,neutral
"Apa ya... Gak ada kekurangan Bagiku, Tapi kadang Ada sebuah bug rumah Yang ketika turun masih Tidak terlihat dan Tampilan Pixel Tapi ini hanya Karna Device hp saya Kemungkinan Hp bagus Sangat Normal.. Intinya best lah Game nya Makasih Developer 😁",positive
Kok sekarang malah pas update gk bisa download padahal sinyal sudah bagus malah buat main game lain gk nge-lag + gk bisa main karena gk bisa masuk karena pas mau login kayak error gitu gimana sih ini jadi tambah gak enak buat main kebanyakan bug 😡😡,negative
"Ini kenapa sih sering logout sendiri, mana login nya susah banget padahal gambarnya udah di pas pasin masih juga gagal, diperbaiki dong untuk verification nya Mana mau turnamen tiba tiba logout sendiri mau login susah👎🏽",negative
"Habis update malah banyak bug, contohnya seperti bug mic padahal jaringan lancar tapi mic tidak bisa menyala. Tolong di fixx krafton!!",negative
Selalu bug saat turun bangunannya kotak semua tidak ada pintu dan jendela jadi tidak tau mau lari ke arah mana dan saat ketemu musuh yang sudah upgread royal pass sering freem jadi sering kalah cepat saat menembak yang menyebabkan cepat knock.,negative
"Min seluruhnya game ini bagus sih cuman ada satu bug di saat bersamaan event 3.5 ini kok gyro scope nya sering bug ya min? , dan saat itu gyronya itu gak normal miring dikit udah pindah jauh tu kamera ,tolong min ini bug mengganggu banget apalagi saat ingin masuk event ,semoga secepatnya di perbaiki min 🙏🙏🙏👍🏻👍🏻👍🏻",positive
"minn, game nya mantep, cuma sedikit saran, kalo main squad rank tinggi, ketemu random, kenapa random nya rank rendah dan seperti baru main, semoga bisa disetarakan berdasarkan pengalaman bermain dan rank, TQ min",positive
"Event udah oke lah ya, cuma suka frame drop aja nih dev, ganggu banget apalagi kalo lagi perang, tiba"" mati aja gara gara frame drop, padahal grafik nya udah rata kiri",negative
"Di update di playstore, terus masuk game Harus download data lagi semua, terus data kita download kemana, jadi terlalu banyak data yang tertumpuk mengakibat kan penyimpanan HP membebani, Terus data yang kemarin jadi sampah , Kalau data event baru tidak apa, tapi masak semua data harus download ulang lagi ??",neutral
"Update sekarang ini malah makin jelek bukan jelek event nya tapi, sinyal nya atau ping nya masak sinyal saya full tapi ping naik turun sampe 400+ kalok cuman sampek 100 ya masih mending lah lah ini jangan kan luting kita main aja ngeblink² kan jadi males buat main, dan tolong dong min perbaikin cuman minus itu aja sih kalok yang lain dah bagus kok",negative
Lohhh.. Masa iya harus nungguin mereka selesai main supaya mendapat Exp sedangkan mereka tidak ingin merecal. Cape main ngabisin waktu nungguin mereka. Keluar nggk nambah Exp nyesek sial. Klo gini mah Uninstall memang sudah pilihan yg tepat.,negative
Game nya bagus cmn ada sedikit keluhkesah ku mohon di update 3.6 nnti di ringgan kan soal nya game berat buat android suka lag frame drop klo ketemu musuh suka lag frame drop dan lagi aku udah main 4 tahun masa m416 glaciear tidak dapat mohon di gampang untuk player yg blom mendapatkan ny terimakasih semoga di baca oleh pihak infinity atau Tencent,neutral
Game nya hd dan seru untuk dimainkan dan harus dimainkan di hp yang cukup besar ruang penyimpanan nya daya minta (coleb dengan alan walker dan balikan lagu on my way dan lily dan permanenkan lagu on my way dan lily saya ingin balik ke zona nostalgia seperti lagu on my way dan lily di mobil dan permanen kan lagu on my way dan lily alan walker di semua mobil motor pliss tencent/krafton) 🙏🙏🙏 🥺🥺,positive
pubg nya banyak bug + lag jadi kaya macet gitu walapun sampah sudah di bersihkan masih ajh kaya gitu tolong dong di benerin lagi pung nya dan juga MB nya kurang ukuran 2 GB ajh jangan terlalu tinggi lag nya jadi ganggu.😤😤,negative
"setelah instal kirain bisa langsung main, eh, ternyata masih download data dulu.. besar banget pula datanya sampai 1gb lebih.. nunggu download data selesai, selesai pula paket dataku, gak sempat main. 🤣🤣🤣🤣🤣🤣",negative
"Game nya bagus banget dan saya sudah main dari 2019 dan sempat break ,tapi sekarang game nya sudah terlalu banyak map dan event"" yang tidak penting seperti buat rumah,metro royal,dan event wow yang menurut saya tidak berguna karena tidak efesien untuk game battle ground (game perang) jadi lebih baik di hapus supaya game lebih ringan dan nyaman untuk dimainkan terimakasih",negative
"Kumpulkan pemain yg selevel,agar kami bisa menikmati game ini thanks, please min, developer,atau apapun nama nya, sekali lagi kumpulkan lah pemain yang se LEVEL, agar kami bisa juga menikmati game ini, jangan jadikan kami bahan tuk di bantai para sultan sultan yg Hedon uc and skin nya 😔",positive
"Semenjak update terbaru banyak banget bug nya, mulai dri server sering lag, trs yg paling sering karakter sama bangunannya ga kebentuk pdhl jaringan bagus banget, tpi ntah knpa smnjk update terbaru ini jdi makin parah",negative
"Hey PUBG game yang sangat bagus, saya minat pada game Metro Royal tolong untuk gameplay-nya di sesuaikan lagi mulai dari luas map dan spawn-nya. perbanyak lagi supply pendapatannya, Di metro Royal saya tidak menemukan adanya Crosbow Taktikal jadi tolong tambahkan karena senjatanya yang keren.",positive
"Tolong di tinjau lagi, pertama sinyal bagus tapi pas pertengahan sering ngelag gak jelas banyak bugg trus tolong dong kalo ada laporan tuh secepatnya di tinjau kayak nya pubg mulai gak ke urruss dulu rate nya bagus sekarang banyak yang se pengalaman sama saya HP bagus sinyal bagus tapi pubg sekarang yang tidak memungkinkan",negative
"Yth. Developer. saya menyampaikan keresahan saya terhadap update saat ini. dimana, kendala yang saya hadapi pasca update ini, adalah kendala login yang mencantumkan keterangan tidak ada signal. padahal, saat digunakan untuk aplikasi lain tergolong lancar. dan saat dicoba kembali, timbul keterangan server tidak merespons dan stuck pada layar loading. saya harap keluhan ini dapat dengan cepat ditangani. terimakasih.",negative
"Alhamdulillah sudah tidak ada masalah lagi selama saya bermain tetapi saya merasa bosan kenapa hanya skin mulu yg di tambah terus, saya ingin merasakan senjata senjata baru seperti yg ada di versi new stage dan PC, itu saja sekian",positive
game yang menantang yo pabg pastinya karena kalo downlod langsung maen pasti nampak dibanding yang sudah lama di sebabkan ada pengaturan yang laen semisal sensitifitas( tembakane naek naek🤭) dan itulah peranan tersulit nyari sensi yg cocok sampe sampe senjata Akm jarang pemain yang memakai di pertempuran.makanya menurut awa geme ini emang bagus dan menantang💪💪💪 io ora lur....,positive
Kenapa akhir akhir ini banyak bug yang sangat mengaggu yang paling parah gw pernah main di sanhok satu map gak ada senjata apapun pistol pun gak ada pas temen saya bunuh musuh di looting juga gak ada senjata meskipun even mamoth ini bagus tapi bug nya sangat meresahkan 😒😓,negative
Wow Game ini sangat bagus untuk dimainkan grafik realistis dan senjata nya juga realistis Pokok nya game ini best lah tapi yang buat hp nya kentang jangan nanti malah berasap bisa bisa soalnya grafiknya memanjakan mata,positive
"Sengaja ngasih bintang 5 biar ke baca, kenapa habis update pas main di akhir zona padahal dah mau ciken malah disconnect aneh. Di aplikasi lain lancar jaya. Terus sampai hari ini saya tidak bisa login karna koneksi internet ga nyambung ke game terus bisa ga respon",positive
"Kurang enak event nya, apalagi yg di tunggu di event biasanya kendaraan terbang atau item² yg bisa mudahin player buat naik ke atas gedung, tapi buat skarang ok lah cuma buat event nantinya item atau kendaraan yg bisa bawak player ke atas gedung jga tambahin kalo tombak kek event skarang kurang enak ada bekas penanda buat lawan",positive
"Makin ngelag aja ni dlm bbrp season. Pdhl jaringan bgs, tpi ping di ingamenya ancur bgt serasa main diserver luar. Lama² uninstall jga ni PUBGM, hp midrange gini masa g bisa main lancar kyk game seberat genshin.",negative
"pembenahan matching dlm permainan, selalu tidak imbang. masa yg rank nya udh tinggi ketemu yg ranknya jauh dibawah. sementara tim musuh dpt tim yg setara dengannya",negative
"Aku masih ngasih 3 bintang karena aku masih agak kecewa buat gachanya sampe temenku bilang ""game kikir"" gara gara susah buat spin aku juga spin kupon peti premium malah dapet sampah, padahal udh ngumpulin 234 kupon malah g dapet apa apa dan buat jaringan udh lumayan bagus tolong diperbaiki",neutral
"Uda lama maen game ini, tapi rasaku masih asik aja maeninnya😜😜😜 mohon diperhatikan lagi ya devloper masih sering putus koneksi ke server infonya, dan kadang lagi WAR mau patah² serangannya, sehingga kemungkinan bisa membunuh lawan jadi awaq yg terbunuh.. Tapi tetap asiklah maenin game ini.. Bravoo PUBG 😎😎😎",positive
"Game sampah emang. Makin lama makin berat aja coba data game nya di kurangi bukannya ditambah mana bug nya juga banyak lagi apalagi jaringan nya udah pake wifi paket 100 Mbps malah nge lag² pula giliran game lain lancar kok trus sekarang hp ku pun udah mulai gak kuat mainin nih game karena ukuran nya mohon ya dikurangi paket game nya, perbaiki bug nya, karena pemain perlu nya itu bukan grafik dan keindahan game tetapi permainan nya / gameplay nya dasar game SAMPAH !!",negative
"pubg semakin buruk,bug masih banyak,bentar lagi 3.5 sedangkan ini masih banyak bug mending gak usah update kalo bug gak di perbaiki terutama di mobil,kuda,Roger,dan sepeda motor,Roger telat berubahnya waktu untuk menjadi manusia butuh sekitar 3 detik jeda gak jelas 3 detik berubah 3 detik stun gak jelas ngaruh sama permainan bikin main makin gak asik.",positive
"Udah main dari lama tapi kenapa makin lama makin kesini jadi males main karena kadang suka ada bug, terus kadang"" pas update event malah suruh download ulang kaya map dan yang lainnya jadi boros kuota terus player global yang mainnya gak serius. Kalo menurut saya lebih bagus kaya dulu lagi biar player yang lainnya juga lebih enjoy dan semoga makin banyak lagi yang main",positive
"Biasanya bisa bermain di smooth-medium sampai high dengan lancar dan stabil, smooth-ultra sedikit memaksa performa Smartphone, tetapi sekarang hanya mampu di smooth-power saving, kalau smooth-medium sudah memaksakan performa Smartphone saya. Terima kasih",neutral
"game nya keren grafik nya hd dan smooth untuk game play nya juga bagus bgt, cmn kendala nya adalah masalah server awal awal main enak, pas kesini kok server selalu bermasalah selalu disuruh log in ulang, tolong diperbaiki developer, thanks for the game.",neutral
"Sangat baik, saya harapkan game pubg dapat lebih ringan agar dapat terjangkau oleh semua perangkat, minimal pemain dapat merasakan 60 fps agar adanya keseimbangan lawan bermain. Cukup di sayangkan karena sebagian perangkat mendapatkan kurang dari 60 fps.",positive
"Saya cuma bisa naikin jadi 3 bintang karena update yang diadakan sangat menarik dan sangat seru tetapi kendalanya ialah banyak bug berceceran, usahakan jangan cuma mengejar update saja tetapi bug juga dipikirkan dan ketika ada keluhan dari para player mohon untuk di tuntaskan dengan cepat dan mohon agar tidak cuma mengejar update tan terbarunya",positive
"Di updatean sekarang tidak jelas dalam musuhnya. Dari tier, level akun sama tapii musuhnya knapa tmn gua dikasih musuh Player baru main, sedangkan gua Player jago. Ketika 1 room (2/4) dengan tmn gua musuhnya keras, ketika tmn gua beda room (1/4) musuhnya Player baru main (masih Noob) Namun ketika gua main (1/4) musuhnya keras atau jagoo, knapa di beda2kan WHYYYY",neutral
